 "propLabel" , "prop" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-affiliation" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-alumniOf" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-award" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-birthDate" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-birthPlace" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-brand" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-callSign" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-children" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-deathDate" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-deathPlace" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-familyName" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-faxNumber" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-gender" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-givenName" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-hasOccupation" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-height" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-homeLocation" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-honorificPrefix" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-knowsLanguage" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-memberOf" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-nationality" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-netWorth" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-owns" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-parent" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-spouse" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-telephone" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-weight" ,
 "http://www.w3.org/ns/shacl#property" , "http://yago-knowledge.org/value/shape-prop-schema-Person-schema-worksFor" ,
